회사,사업자등록번호,업종,사원수(명),매출규모(억),주소(도로명 주소),웹사이트 주소,기업소개 및 기업규모,담당업무,지원요건,채용인원,제출서류,서류제출 마감일,기타
뉴닉(카벤패밀리사), 632-81-01159, 정보통신, 23, 10," 서울특별시 마포구 어울마당로 35, 신보빌딩 5층"," <a href=""https//newneek.co/"" target=""_blank"">https//newneek.co/</a>"," 뉴닉의 프론트엔드 엔지니어로서 뉴닉 프로덕트의 프론트엔드 파트를 설계 및 구현하고, 뉴니커의 프로덕트 사용과 콘텐츠 소비 경험을 개선해요."," 기술스택 TypeScript, JavaScript, React Native, React (2)JavaScript/TypeScript를 활용한 개발 경험이 1년 이상 있는 분 (3) React, Next.js 등 SPA 프레임워크로 서비스 개발 경험이 있는 분1",21,"사전질문""뉴닉에 입사할 시 업무에서 가장 기대하는 바는 무엇인가요?""에 대한 답을 포함하여 작성)1",8.5 (금) 11시1,"복지식비 별도 지급 주 5일, 40시간 근무 문화회식비 월 5만원 지원, 월 4권의 도서구매 지원, 외부 컨퍼런스 등 교육비 지원      ","채용 HOME <a href=""https//newneek.notion.site/NEWNEEK-NEW-PLAYER-2022-309aa410023b4250b738494bb6524df7"" target=""_blank"">https//newneek.notion.site/NEWNEEK-NEW-PLAYER-2022-309aa410023b4250b738494bb6524df7</a>"
메타제이앤에스 주식회사, 873-88-02743, 사무용 전자기기 렌탈사업, 3, 10," 서울특별시구로구디지털로31길38-9, 808호(구로동, 에이스테크노타워1차)"," <a href=""http//www.metajns.com"" target=""_blank"">www.metajns.com</a>", 사무용 전자기기 렌탈을 주업무로 하고 있는 중소기업입니다, 블로그등 SNS 운영 관리, 그래픽프로그램 잘다루시는분 (전공 무관) 웹제작 까지 가능하면더 좋습니다(홈피 수정등 업무)1,11,  이력서 자기소개서 포트폴리오가 있으면 환영합니다1,8.1(월)     
나트리스, 709-87-00734, 서비스업, 46, 100, 서울시 영등포구 여의대로 108 파크원 타워1 47층, X, 중소기업,"포지션 ; 서비스 기획자담당 업무• 게임 및 블록체인 디파이 서비스의 웹/앱 기획 및 운영• 웹/앱 서비스 UX 화면 기획• 우선순위 도출 및 구현을 통한 서비스 고도화• 데이터 &amp; 고객 피드백 기반 개선점 도출• 기획 - 개발 - 배포의 프로세스 관리 및 모니터링     ""서버/클라 구분 없이 아래 중 1~2가지 업무를 담당하게 됩니다. 관심있는 학생은 지원하면 될 것 같습니다.1.웹페이지 frontend 개발 (react, javascript)2.웹페이지 backend 개발 (nodejs, express, javascript)3.게임 클라이언트 UI 개발 (cocos2d-x, lua)     ","""• 게임 및 블록체인 디파이 서비스에 대한 이해와 관심을 가지신분 • 고객에게 줄 서비스의 가치를 이해하고 함께 서비스의 방향을 고민할 수 있는 분 • 개발, 디자인, 사업 전반에 대한 이해와Ownership을 가지고 일할 수 있는 분 • 다양한 데이터를 바탕으로 분석적 인사이트를 도출할 수 있으신 분 • 스스로 목표와 전략설정이 가능하고, 논리적인 커뮤니케이션을 통한 협업이 가능한분 • 먼저 의견을 논리적으로 제시하고 주도적으로 일하기를 즐기는 분""1",21," 자기소개서, 포트폴리오(선택)1", 7.28(목) 오전 11시1,"복리후생아침 조식, 각종 경조사 지원, 2년에 1번 VVIP종합 검사,해피프라이데이(매주 마지막 주 금요일 4시간 근무), 생일 4시간근무&amp;선물, 미사용 연차 수당, 야근택시비, 야근식대, 인센티브, 퇴직연금"
아이엠코어, 6318101097, 마시는 영양제 프랜차이즈 서비스, 7, 35, 서울 강남구 강남대로 110길 29," <a href=""http//www.vitamate.co.kr"" target=""_blank"">www.vitamate.co.kr</a>", 중소기업," 마케팅 지원, 회계및 인사관리, 영업관리"," 사무용 오피스 ( 엑셀 파워포인트 워드 작성 가능 ) , 더존 또는ERP회계 , 데이타 서치 자유자재 가능1",2-3명1," 이력서( 국가공인 자격증 필수 기재 ) , 자기소개서1", 7.27 오전 11시1,마시는 영양제 매일 제공
투디지트, 757-86-01206, 인공지능 프로그램 개발, 20, 10, 경기도 성남시 분당구 판교로255번길 35," <a href=""http//www.2digit.io"" target=""_blank"">www.2digit.io</a>", 중소기업,"1) 자체 인공지능 서비스에 대한 APP(안드로이드, iOS) 또는 WEB(반응형 모바일페이지)을 개발 2) App은 안드로이드는java/kotlin, iOS는 swift, WEB은 react.js 또는 vue.js 3) 공통적으로 python은 기본 -&gt; 자연어처리 인공지능이 python기반으로 개발됨."," 1) App은 안드로이드는 java/kotlin, iOS는 swift, WEB은 react.js 또는 vue.js1","app 1명, web 1명1"," 이력서, 자기소개서, (선택)포트폴리오1",7.27(수)오전 11시1,"복리후생 5만원/월 활동비 지원**투디지트 <a href=""http//www.2digit.io"" target=""_blank"">www.2digit.io</a>에서 1) 자체 인공지능 서비스에 대한 APP(안드로이드, iOS) 또는 WEB(반응형 모바일페이지)을 개발 2) App은 안드로이드는java/kotlin, iOS는 swift, WEB은react.js 또는 vue.js 3) 공통적으로python은 기본 -&gt; 자연어처리 인공지능이python기반으로 개발됨"
솔루피아주식회사, 220-86-11293, 소프트웨어개발, 23, 50," 서울특별시 영등포구 경인로 775,1동 411호"," <a href=""http//www.solupia.co.kr"" target=""_blank"">www.solupia.co.kr</a>", 중소기업, 보안 솔루션 구축 및 유지보수," sql,linux,windows server1",7명1, 자기소개서1," 7.25(월)11tl14.식비 별도 지급복리후생 식대지원,교육비지원     "
(주)도프텍 (110111-1921538), 107-81-80129, 소프트웨어 개발 및 판매, 67, 61," 서울특별시 중구 통일로 86, 4층 (순화동, 바비엥3)"," <a href=""http//www.doftech.co.kr"" target=""_blank"">www.doftech.co.kr</a>",,중소기업,"2000년 3월 창업하여 플랜트, 건걸사, 조선, 중공업, 정유사 등의 업무 자동화 솔루션 개발","2D, 3D CAD SW 응용 자동화 프로그램 개발",,"플랜트, 건걸사, 조선, 중공업, 정유사 등의 업무 자동화 솔루션개발","2D, 3D CAD SW 응용 자동화 프로그램 개발"
주식회사 크레페이, 216-88-02182, 정보통신업, 6, 0, 서울특별시 서초구 바우뫼로162," <a href=""http//www.crepay.com"" target=""_blank"">www.crepay.com</a>","크레페이는 정부, 유수의 VentureCapital(본엔젤스 투자회사)에서 기술력을 인정 받아 투자를 유치한 유망한 스타트업입니다.저희는 Z세대를 위한 BNPL 서비스(지금 구매 후 나중에 지불을하는 새로운 핀테크 금융 솔루션)와 앱테크를 결합한 서비스를준비 중이며, 내년 상반기 중 정식 서비스를 오픈 할 예정입니다."," - Flutter를 이용한 멀티 플랫폼 모바일 애플리케이션 개발- HTTP, REST API 설계 및 적용"," IT 혹은 스타트업에 관심이 많고, 소프트웨어 개발 직군에서 성장하고 싶은, 합리성을 바탕으로 사고하고 행동하는 성실한 학생1",개발 분야 1명1," 이력서, 자기소개서, 포트폴리오(*선택)1",7.18(월) 11시1,식비 별도 지급
(주)에이브이피시스템즈, 744-81-00128, 제조업외, 8, 28," 서울 구로구 디지털로242, 1207호 1208호 (구로동, 한화비즈메트로1차)", 없음, 중소기업으로 광고 기구물 제작 및 광고 업무를 진행하는 회사입니다. 회사소개서 메일 보내드리겠습니다.," 광고 영상 업로드 및 영상 이미지 수정, 제안서 PPT작성, 보고서작성 (엑셀), 회사 자체 서버 관리1",서버 관리 1명 (디자인)1," 이력서, 자기소개서, 포트폴리오1",7.18(월) 오전 11시
기업명(사업자등록증)알서포트 주식회사, 114-86-82265, 소프트웨어개발, 312, 525," 서울특별시 송파구 위례성대로 10(방이동, 에스타워 8층~12층)"," <a href=""https//www.rsupport.com/ko-kr/"" target=""_blank"">https//www.rsupport.com/ko-kr/</a>"," 중소기업이며, 소개자료는 메일로 보내드리겠습니다.",,프론트엔드 개발- Web Application 개발 및 유지 보수- 당사 솔루션 및 서비스 FE 개발,"QA - 사내 제품에 대한 테스트 활동- 테스트 수행, 결함분석 및 보고- 테스트 프로세스 개선","[공통] 성별  여성 [FE] Javascript/Typescript 역량, HTML5,CSS3 웹표준 마크업 역량 [품질] SW 제품 테스트 대한 기초적인지식1","FE - 2명, QA - 2명1"," 이력서, 자기소개서 (포폴 있다면 제출)1"
뉴로핏 주식회사, 204-86-57415, 응용 소프트웨어 개발 및 공급업, 93, 1, 서울시 강남구 테헤란로124 삼원타워 12층," <a href=""http//neurophet.com/"" target=""_blank"">http//neurophet.com/</a>",2016년에 설립된 뉴로핏은 자체 개발한 인공지능(AI) 기술 기반으로 의료 영상 소프트웨어를 개발하는 기업입니다. 차세대 뉴로내비게이션 시스템을 개발한 CEO와 CTO가 의기 투합해 공동으로 회사를 설립했습니다. 뉴로핏은 의료 영상 소프트웨어 분야의우수한 기술력과 높은 성장 가능성을 인정받아 다수의 투자 기관으로부터 약 300억원 규모의 누적 투자를 유치했습니다. 양질의자금을 확보한 뉴로핏은 뇌질환 솔루션 분야 제품 고도화에 나서고 글로벌 시장 진출을 위해 임상 연구 및 세일즈 활동에 회사의역량을 집중하고 있습니다. 뉴로핏은 현대 의학의 한계를 뛰어넘어 뇌질환으로 고통받는 환자들을 돕는 것을 회사 최우선 과제로설정했습니다. 뉴로핏만이 보유한 뇌 과한 기술의 전문성을 바탕으로 뇌질환 의료 솔루션 분야 글로벌 1위 기업으로 도약하기 위해 끊임없이 도전하고 있습니다.중소기업/벤처기업/인재육성형중소기업/우수기업부설연구소선정/근무혁신인센티브제 SS등급 선정 등,"[]뇌 영상 데이터를 기반으로 웹 제품을 개발(S/W 개발 업무)- 자사 제품 개발 및 유지 보수- 클라우드 서비스 개발 및 유지 보수[모집분야]백엔드개발1) 자격요건  Java, Spring boot, JPA, RESTful, RDBMS프론트엔드개발1) 자격 요건  Javascript, Html5, CSS2) 우대 요건  Typescript, SCSS, ReactJS[공통우대사항]-JIRA/Confluence 사용 경험이 있으신 분-CI/CD 사용 경험-AWS 기반 Cloud 사용개발 경험-리눅스 기반 개발 경험", 9번 항목에 입력 완료1,"(예 **분야**명)백엔드 2명, 프론트엔드 1명1"," 자유양식의 이력서, 자유양식의 포트폴리오1", 7.14(목) 11시
주식회사 딕스코리아, 309-88-00282, 소프트웨어개발 및 판매 외, 18, 15, 서울특별시 금천구 가산디지털1로 128 STX-V타워 502호," <a href=""http//www.deex.co.kr"" target=""_blank"">www.deex.co.kr</a>","저회회사는 Microsoft 한국 공식 파트너사입니다. 특히, Microsoft사의 수많은 솔루션중에서 ERP 제품인 Dynamics 365 와 PowerBI, Power Automate, Power Apps 그리고 Cloud 기술인 Azure 기술을 컨설팅 및 개발 제공하고 있습니다.","뉴미디어 소프트웨어 학과의 교육과정중 소프트웨어개발/ App프로그래밍/ Web 프로그램밍 기술이 모두 필요하며 특히, 고용후 향후에는 여러가지 기술중 가장 재능을 많이 보이는 분야로 특화된 개발자로 나아갈 수 도 있습니다.", 학과 교육과정으로 충실히 완료하신분이면 지원이 가능합니다.1,RPA 분야 2 / App개발  1명 / Data3명1," 이력서, 자기소개서, 포트폴리오1", 7.12(화) 11시1,"복리후생 건강지원비, 교육비, 여행지원비"
아이티크루, 206-86-82093, 패키지 솔루션 개발(그룹웨어), 7, 8.2," 서울 성동구 연무장5가길 25, 성수역SKV1타워 310호"," <a href=""http//www.itcrew.co.kr"" target=""_blank"">http//www.itcrew.co.kr</a>"," 벤처기업, 디자인 채용요청시 회사소개서 기송부함."," 패키지S/W개발/유지보수(Java,Spring framework)", 웹개발 가능자1,11," 이력, 자기소개서,포트폴리오1", 7.11 월요일 11시1,"중식 제공 복리후생 연차수당,교육비 지원등"
홀썸 브랜드 코리아 엘엘씨, 269-84-00026," 전자상거래, 도소매", 20, 15, 서울시 강남구 선릉로 428," <a href=""http//www.wholesumbrands.com"" target=""_blank"">www.wholesumbrands.com</a>","저희 회사 소개를 간략히 드리면,홀썸브랜드는 한국에서 가장 빠르게 성장하는 스타트업 중 하나이며, 2021년 6월 설립 이후 국내외 투자자들로부터 Series A와Venture Debt을 통해 650억원 자금유치에 성공하였습니다.사업 모델은 온라인 브랜드를 인수하여 성장시키는 것으로, 이 과정에서 온라인 시장에 도전하는 창업가들에게 도움을 주며 공생하는 것을 중점적으로 생각합니다.취업 의뢰를 드리게 된 결정적인 이유는, 미림 정보 산업 고등학교는 성실, 봉사, 창조라는 교훈을 기본으로 사회와 국가 발전에기여한다는 목적이 저희 홀썸의 비전과 매칭되고, 고등 시절부터소프트웨어 개발을 위한 프로그래밍 언어 활용을 습득하는 것으로 알고 있어 취업 의뢰를 드리게 되었습니다.", Software Engineering, 소프트웨어 개발 경험 / 수상 이력 / 리더쉽 등1,Software Engineering 분야 3인1," 이력서, 자기소개서, 포트폴리오 등1"," 7.12(수) 11시, 2022     "
나인원소프트(주),220-87-66780, 소프트웨어개발, 30, 38," 서울시 성동구 상원1길 26, 서울숲A타워 711호"," <a href=""http//www.nineonesoft.com"" target=""_blank"">www.nineonesoft.com</a>", 네," 솔루션개발,SI개발 등(JAVA 외)1",2명1," 이력서, 자기소개서, 포트폴리오1", 7.12 (화)11tl1,"복리후생 통신비, 경조비 등"
 (주)로이테크원, 113-86-25811, 소프트웨어 개발 및 공급, 15, 15, 서울시 구로구 디지털로 272 한신IT타워 202호," <a href=""http//www.roit.co.kr"" target=""_blank"">www.roit.co.kr</a>","건설기업/물류기업을 위한 ICT융복합 솔루션을 직접 개발하여클라우드서비스와 SI방식으로 공급하는 기업으로, 국내 프로젝트관리시스템(PMS) 클라우드 서비스 1위의 시장점유 기록중벤처기업인증, 기술연구소등록기업, 국토부장관상 수상","1) SW 개발자 (JAVA언어)2) 시스템 운영 및 유지보수 (JAVA, asp)3) 경영지원담당(인사/회계/고객관리 등)", 개발자는 JAVA 언어 유경험자1,각 분야 1명1," 이력서, 자기소개서, 포트폴리오1", 6.30(목)11시1,"연말성과에 의한 인센티브 지급   복리후생 도서구입비, 학자금지원"
아이티크루, 206-86-82093, 패키지 솔루션 개발(그룹웨어), 7, 8.2," 서울 성동구 연무장5가길 25, 성수역SKV1타워 310호"," <a href=""http//www.itcrew.co.kr"" target=""_blank"">http//www.itcrew.co.kr</a>"," 벤처기업, 디자인 채용요청시 회사소개서 기송부함."," 패키지S/W개발/유지보수(Java,Spring framework)", 웹개발 가능자1,11," 이력, 자기소개서,포트폴리오1", 7.4 월요일 11시1,"중식 제공 복리후생 연차수당,교육비 지원등"
주식회사 하이퍼라운지, 548-88-01891, 소프트웨어 개발 및 데이터 분석 및 수집, 48, 1, 서울시 성동구 광나루로 130 서울숲IT캐슬 1401호," <a href=""http//www.hyperlounge.ai"" target=""_blank"">www.hyperlounge.ai</a>", 중소기업, Backend 데이터 처리 개발자1,데이터분야 o명1," 이력서, 자기소개서, 포트폴리오(의무사항아님)"
주식회사 팀오투, 286-88-00238, 소프트웨어개발, 50, 100," 서울시 강남구 테헤란로2길 21, 9, 10층(역삼동, 타워300)"," <a href=""http//teamo2.kr/"" target=""_blank"">http//teamo2.kr/</a>", 중소기업/벤처기업인증," 개발팀(NodeJS / Express / PHP / Mysql / MongoDB / AWS(EC2, RDS, S3, Lambda, etc)", NodeJS / PHP1,개발팀 3명1," 이력서, 포트폴리오1", 6.29 수요일 11시1,"복리후생 사내커피머신, 간식, 라운지, 직무도서구매"
 (주)헬로팩토리, 665-87-00133," 소프트웨어 개발, 공급", 12, 5," 서울특별시 강남구 선릉로107길 13, 3층"," <a href=""http//www.hellofactory.co.kr"" target=""_blank"">www.hellofactory.co.kr</a>","과기부 지정 SW 고성장클럽 200, 특허청 지정 지식재산경영기업 입니다.인원수 12명 규모의 중소기업이며 IoT를 기반으로 한 벨 시스템을 cloud 기반으로 서비스하는 기업입니다. 현재 한국, 미국, 캐나다로 서비스를 늘려가고 있으며 고객층은 규모가 있는 레스토랑,바, 호텔, 스테디움, 학교등이 서비스의 고객층입니다.HW는 기획, 설계를 진행하며 (개발, 제작은 외부에서 합니다)SW는 대부분을 자체 개발을 하여서 서비스를 진행하고 있습니다.보다 자세한 소개와 채용정보를 추가로 자료를 보내드리겠습니다.","서비스 시스템 서버 개발 cloud를 기반으로 회사에서 제공하는서비스의 서버 환경을 개발합니다. Amazon cloud를 사용하며,개발 언어는 node v14로 진행합니다. 사용하는 tool은 vscode를사용하고 있지만, 개인적으로 원하는 tool을 사용할 수 있습니다.App, Web 개발 회사에서 서비스하는 client를 개발하는 부분으로 administrator는 vue, flutter를 사용합니다. 그외 고객이 사용하는 app은 flutter로 진행합니다. 개발 tool은 vscode를 사용합니다.App, Web Design 고객이 사용하는 app, web page에 대한Design 부분으로 사용 tool은 Photoshop, Illustrator등과 같은 디자인 tool과 개발과 연동하기 위해서 Figma, Sketch와 같은 tool을 사용합니다.그외 공통적으로 모든 개발 관련 시스템은 apple mac을 사용합니다."," 개발 vscode editor, github, node, docker, flutter, 디자인 figma,sketch1","서버 개발 1명, App, web 개발 1명, 디자인 1명1"," 형식에 구애받지 않고 본인을 잘 설명할 수 있는 (성격, 경력) 서류면 다 괜찮습니다.1", 6.2,11시1
엔에이치엔커머스(주), 120-86-46911, 소프트웨어 개발 및 공급업(서비스업), 250, 333," 서울시 구로구 디지털로 26길 72, 2~3층"," <a href=""https//www.nhn-commerce.com/company/main.gd"" target=""_blank"">https//www.nhn-commerce.com/company/main.gd</a>", 이메일을 통해 PDF 파일로 제공, 온라인 커머스 플랫폼 개발자, 이메일을 통해 PDF 파일(회사소개 자료 내 6p 참고)1,4명1, 입사지원서 링크 별도로 전달1, 6.15(수) 오전 11시
뉴럴웍스랩(주), 810-86-00605," 소프트웨어 (인공지능, 데이터분석 솔루션)", 7, 8," 서울특별시 서초구 강남대로 369, 12층 5호 (서초동, 에이플러스에셋타워)"," <a href=""https//www.rocketpunch.com/companies/neuralworks"" target=""_blank"">https//www.rocketpunch.com/companies/neuralworks</a>","이러한 인공지능/데이터분석 솔루션(SaaS) 서비스를 함께 개발할 디자이너, 프런트엔드, 백엔드 개발자를 찾습니다 -<a href=""https//www.youtube.com/watch?v=7sIvlutFXCI"" target=""_blank"">https//www.youtube.com/watch?v=7sIvlutFXCI</a>"," 필수는 아님. 현재 회사가 사용중 figma, zeplin, node.js, vuejs,python, fastAPI","강남역 바로 옆 사무실이고, 재택 가능합니다 (일주일 1회 전체 모임). 구글 미트로 미림여고 여러분들을 위한 설명회, 질의응답 가능합니다.1","디자인 1명, 프런트엔드 1명, 백엔드 1명1"," 포트폴리오(디자인), 개발경험내용 및 기술 스택(개발자)1",6.16(목) 11시1,"식비 별도 지급 점심 지원, 야근시 석식 지원, 회사 및 개인 실적에 따른 상여금, 스탁옵션 제공복리후생 참고 <a href=""https//www.rocketpunch.com/companies/neuralworks"" target=""_blank"">https//www.rocketpunch.com/companies/neuralworks</a>"
 (주)코너스, 220-88-92965, 소프트웨어 개발, 32, 23, 서울특별시 성동구 상원1길 26(성수동1가) 806호," <a href=""http//www.corners.co.kr"" target=""_blank"">www.corners.co.kr</a>"," 2014년 설립된 중소기업으로 회사 소개는 <a href=""https//mail.google.com/mail/?view=cm&amp;fs=1&amp;to=job%40e-mirim.hs.kr&amp;authuser=0"" target=""_blank"">job@e-mirim.hs.kr</a> 송부드리겠습니다."," 소프트웨어 개발, 사업 수행(개발 지원), 제품서비스본부(제품 기획, 영업 등)", 학교생활에서 모범이 되는 학생이면 좋겠습니다.1, 0명1, 이력서 및 자기소개서1," 6.8 11시, 20221","복리후생 생일자 축하 상품권 지급, 사내 사이버 연수원 운영, 사내 종합건강검진 등"
케이엔큐레이션 주식회사, 609-86-257210, 소프트웨어개발 및 공급, 34, 15, 서울특별시 성동구 연무장 5길 9-16 블루스톤타워 8층," <a href=""https//www.startapp.co.kr"" target=""_blank"">https//www.startapp.co.kr</a>","저희 회사는 다양한 프로젝트를 성공적으로 수행한 앱개발 전문회사입니다. 고객의 니즈에 맞게 기획,디자인,개발, 마케팅까지통합적인 서비스를 제공하고 있으며 열정 많은 젊은 구성원들로이루어져 있으며 회사 성장과 구성원들의 성장을 위해 끊임없이노력하고 있습니다. 기업 규모는 전체 인원 34명으로 이루어져있고 기획팀, 디자인팀, 개발팀, 마케팅팀으로 구성되어 있으며지속적인 성장으로 인원을 추가적으로 채용하고 있습니다.","담당 업무 하이브리드 앱개발 및 기능 개발, 사용언어typescript, node, 주로 angular , ionic로 주로 개발하며 reactnative도 추가적으로 개발합니다.", 응시자격은 앱개발에 관심 많은 사람을 원하고 향후 장기적으로회사의 성장과 더불어 함께 성장할 인재를 원합니다.1,개발 분야 2명1," 이력서, 자기소개서, 포트폴리오1"," 6.13(월), 20221","복리후생 식비별도지금, 도서지원비, 선택적 근무제, 생일 반차지급, 휴식용 카페테리아,간식 제공, 아이맥 제공, 교육비 지원,"
단군소프트,220-86-29003,소프트웨어 도매업, 52, 704, 서울특별시 강남구 언주로 620 7층," <a href=""Http//www.tangunsoft.com"" target=""_blank"">Http//www.tangunsoft.com</a>", 영업지원직, 소프트웨어 관련 지식 보유자1, 1명1," 이력서, 자기소개서1", 6.21 화요일1,복리후생 홈페이지 참고
주식회사 덴컴, 687-87-00564, 소프트웨어 개발업, 14, 2," 서울시 영등포구 국회대로62길 5, 4층"," <a href=""http//www.dencomm.ai"" target=""_blank"">www.dencomm.ai</a>", 저희는 치과 음성AI차트 플랫폼을 개발중인 중소기업입니다. 현재 투자자로부터 20억의 투자유치가 확정된 상황입니다.,"백엔드업무  음성AI 데이터 학습, PHP, node js,java spring 사용가능자프론트엔드 업무  앱개발, react native 사용 가능자"," 앱 개발 가능자, react native, PHP, node js, java spring 언어 사용가능자1",백엔드 2명/ 프론트엔드 2명1," 이력서, 자기소개서, 포트폴리오1", 5.26(목) 오전 11시1,"복리후생 교육훈련비, 1주일 1회 식대 지원, 간식 지원, 자유연차"
주식회사 리서치이노션, 114-86-73975, 응용소프트웨어 개발 및 공급업, 10, 10," 서울특별시 강남구 강남대로364, 1602호(역삼동, 미왕빌딩)"," <a href=""https//www.reinno.com"" target=""_blank"">https//www.reinno.com</a>","리서치이노션은 온라인 설문조사 솔루션, 컨택(전화조사) 솔루션, 웹리포트 시스템, ERP 시스템을 전문적으로 개발하는 직원수 10명의 중소기업입니다.2009년 설립 이후 지속적으로 성장하고 있는 가운데, 21년 벤처,메인비즈, 22년 이노비즈 인증을 획득하였고, 기업부설연구소를보유하여 R&amp;D분야에도 지속적인 투자를 진행하고 있습니다.","설문조사 솔루션, 컨택(전화조사) 솔루션, 웹리포트 시스템 개발에 필요한 인력을 충원 중입니다.필수적인 사용 언어 및 툴 HTML5, Javascript, PHP, DB(MSSQL)", 정보처리 관련 자격증 보유자1,설문조사 솔루션 개발 분야 2명1," 이력서, 자기소개서, 포트폴리오, 성적증명서1", 5.26(목)오전 11시1,식비 별도 지급1
퀄리티아 주식회사, 120-86-30103, S/W개발 및 System통합개발, 21, 28, 서울시 강남구 언주로130길 35," <a href=""https//www.qualitia.co.kr"" target=""_blank"">https//www.qualitia.co.kr</a>","저희 회사는 2201년 창립이후, '글로벌 메시징 인프라 기업'의 비전을 가진 메시징 전문기업으로 성장하고 있는 회사로서 기업용웹메일, 스팸메일 차단솔루션, 이메일 보안솔루션 등 이메일을 중심으로 한 다양한 제품을 제공하고 있습니다.싱가포르 및 일본에 동일한 사명의 모회사 및 계열회사가 있으며,20년 이상 안정적인 경영을 하고 있습니다.2022년 2월까지는 디프소프트(주)라는 사명이었으나, 모회사 및계열회사와 동일한 사명을 사용하기 위해 3월에 퀄리티아(주)로사명을 변경하였습니다.회사 규모는 중소기업입니다.", 기업용 메일 및 메일보안관련 제품의 연구개발을 위한 java 웹 개발 직원을 모집중에 있습니다., Web 어플리케이션 개발 및 java struts (spring) 개발에 대한 기본소양을 갖춘 인재를 모집하고 있습니다.1,java 웹 개발자 2명1," 이력서, 자기소개서, 개발 포트폴리오(대상자에 한함)1", 5.26(목) 11시15.연간 성과급은 영업이익 규모에 따라 월 급여의 50%~100% 1회 지급내)1,"복리후생건강검진, 직원대출제도, 각종 경조사 지원, 단체 상해보험,우수사원시상식, 워크샵, 도서구입비지원, 외국어 교육 지원, 자기계발비 지원, 사내동호회 운영, 음료제공(차, 커피), 퇴직연금, 인센티브제, 상여금, 장기근속자 포상, 우수사원포상, 퇴직금, 야근수당, 휴일수당, 직책수당, 4대 보험, 명절선물, 콘도/리조트 회원권보유, 연차, 여름휴가, 경조휴가제, 회식강요 안함, 야근강요 안함, 자유복장     "
주식회사 하이, 603-88-00597, 소프트웨어 개발, 29, 8," 서울시 마포구 마포대로 122, 프론트원 15층"," <a href=""http//www.haii.io"" target=""_blank"">www.haii.io</a>", 정신건강 증진을 위한 디지털 치료제 개발 회사(중소기업), 소프트웨어 개발/서비스기획 및 운영, 소프트웨어 개발 업무자는 소프트웨어 전공 필요/ 서비스 기획 및운영 부문은 협력 및 커뮤니케이션 원활하며 열정있으신 분1,개발 1명 / 기획 및 운영 1명1," 이력서, 자기소개서, 포트폴리오(있을 경우)1", 5.26(목) 11시1,성과금 있음1
 (주)인프로, 850-87-00105," 소프트웨어 개발, 하드웨어 개발", 11, 16," 서울시 금천구 벚꽃로 286, 삼성리더스타워 1204호"," <a href=""http//www.inpro.co.kr"" target=""_blank"">www.inpro.co.kr</a>","* 스타트업 (업력 7년차 중소기업)- 제품(서비스)* ICT 기반 스마트팜 시스템 (우리농장) 서비스* A.I 기반 동물 행동 탐지 시스템 서비스* 노지 스마트팜 시스템 서비스- 복지※ 기본주 5일 / 40시간 탄력 근무제 ( 8시, 9시 10시 근무 선택 ) - 금요일1시 퇴근 가능연차 및 경조휴가, 창립일 휴가 반차 등 일반 사항식대 / 휴게 시설연장 지원 (노트북, 듀얼모니터 외 기타 스마트 장비 )1800mm 책상 지원 (넓어서 물건 잘 잃어 버림)※ 교육워크샵 (프리스케쥴), 도서구입비 , 자격증 취득 지원※ 보장 / 보상인센티브 (상반기/ 하반기) , 우수사원포상 ,장기근속자 포상, 퇴직연금 , 경조사 지원, 명절 지원",스마트팜 시스템 서비스 개발 (고도화 및 신규 서비스 개발 )- NginX 기반 PHP / NodeJs / Python / C++- DBMS  MS-SQL / MariaDB, 협업능력이 우수한자1,소프트웨어 개발  3명1," 이력서, 자기소개서, 포트폴리오1", 5.26(목)11시     
 (주)한컴위드, 116-81-72773, 소프트웨어 개발 및 공급, 111, 260, 경기도 성남시 분당구 대왕판교로235 H스퀘어 N동 215호," <a href=""http//www.hancomwith.com"" target=""_blank"">www.hancomwith.com</a>", 중소기업/코스닥상장 소개자료는 메일로 보내드리도록하겠습니다., 디지털포렌식 소프트웨어 개발관련 기술 연구 및 제품 개발," 문제해결 능력, 소통 능력, 하나 이상의 능숙한 프로그래밍 언어구사. 주요 전산 전공 수업을 많이 이수한 학생 우대1",총 4명1," 이력서(자기소개서) 및 수학한 내용에 대한 포트폴리오 공유 우대 (notion, github 등)1", 5.26(목)11시1,복리후생연100만원 복지포인트/휴가비지원/사내카페테리아/생일자케잌&amp;상품권지급/최대1000만원장기근속포상금/매년25만원상당의 건강검진지원/체력단련비지원/우수사원포상/주차비지원/직무교육비지원/팀비지원_단 모든 항목 정규직(혹은 수습기간) 기준
